study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB6358	SAMEA2554862	ERS465247	ERX485592	ERR520357	410661	mouse gut metagenome	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520357/ERR520357.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520357/ERR520357.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m1.d16.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m1.d16.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520357	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520357		
PRJEB6358	SAMEA2554863	ERS465248	ERX485593	ERR520358	410661	mouse gut metagenome	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520358/ERR520358.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520358/ERR520358.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m1.d17.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m1.d17.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520358	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520358		
PRJEB6358	SAMEA2554864	ERS465249	ERX485594	ERR520359	410661	mouse gut metagenome	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520359/ERR520359.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520359/ERR520359.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m1.d18.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m1.d18.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520359	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520359		
PRJEB6358	SAMEA2554865	ERS465250	ERX485595	ERR520360	410661	mouse gut metagenome	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520360/ERR520360.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520360/ERR520360.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m1.d19.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m1.d19.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520360	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520360		
PRJEB6358	SAMEA2554866	ERS465251	ERX485596	ERR520361	410661	mouse gut metagenome	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520361/ERR520361.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520361/ERR520361.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m1.d21.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m1.d21.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520361	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520361		
PRJEB6358	SAMEA2554867	ERS465252	ERX485597	ERR520362	410661	mouse gut metagenome	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520362/ERR520362.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520362/ERR520362.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m1.d25.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m1.d25.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520362	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520362		
PRJEB6358	SAMEA2554868	ERS465253	ERX485598	ERR520363	410661	mouse gut metagenome	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520363/ERR520363.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520363/ERR520363.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m1.d28.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m1.d28.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520363	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520363		
PRJEB6358	SAMEA2554869	ERS465254	ERX485599	ERR520364	410661	mouse gut metagenome	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520364/ERR520364.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520364/ERR520364.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m2.d1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m2.d1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520364	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520364		
PRJEB6358	SAMEA2554870	ERS465255	ERX485600	ERR520365	410661	mouse gut metagenome	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520365/ERR520365.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520365/ERR520365.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m2.d2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m2.d2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520365	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520365		
PRJEB6358	SAMEA2554871	ERS465256	ERX485601	ERR520366	410661	mouse gut metagenome	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520366/ERR520366.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520366/ERR520366.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m2.d3.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m2.d3.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520366	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520366		
PRJEB6358	SAMEA2554872	ERS465257	ERX485602	ERR520367	410661	mouse gut metagenome	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520367/ERR520367.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520367/ERR520367.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m2.d4.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m2.d4.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520367	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520367		
PRJEB6358	SAMEA2554873	ERS465258	ERX485603	ERR520368	410661	mouse gut metagenome	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520368/ERR520368.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520368/ERR520368.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m2.d7.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m2.d7.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520368	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520368		
PRJEB6358	SAMEA2554874	ERS465259	ERX485604	ERR520369	410661	mouse gut metagenome	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520369/ERR520369.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520369/ERR520369.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m2.d11.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m2.d11.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520369	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520369		
PRJEB6358	SAMEA2554875	ERS465260	ERX485605	ERR520370	410661	mouse gut metagenome	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520370/ERR520370.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520370/ERR520370.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m2.d12.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m2.d12.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520370	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520370		
PRJEB6358	SAMEA2554876	ERS465261	ERX485606	ERR520371	410661	mouse gut metagenome	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520371/ERR520371.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520371/ERR520371.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m2.d13.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m2.d13.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520371	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520371		
PRJEB6358	SAMEA2554877	ERS465262	ERX485607	ERR520372	410661	mouse gut metagenome	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520372/ERR520372.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520372/ERR520372.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m2.d14.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m2.d14.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520372	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520372		
PRJEB6358	SAMEA2554878	ERS465263	ERX485608	ERR520373	410661	mouse gut metagenome	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520373/ERR520373.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520373/ERR520373.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m2.d15.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m2.d15.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520373	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520373		
PRJEB6358	SAMEA2554879	ERS465264	ERX485609	ERR520374	410661	mouse gut metagenome	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520374/ERR520374.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520374/ERR520374.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m2.d16.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m2.d16.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520374	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520374		
PRJEB6358	SAMEA2554880	ERS465265	ERX485610	ERR520375	410661	mouse gut metagenome	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520375/ERR520375.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520375/ERR520375.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m2.d17.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m2.d17.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520375	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520375		
PRJEB6358	SAMEA2554881	ERS465266	ERX485611	ERR520376	410661	mouse gut metagenome	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520376/ERR520376.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520376/ERR520376.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m2.d18.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m2.d18.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520376	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520376		
PRJEB6358	SAMEA2554882	ERS465267	ERX485612	ERR520377	410661	mouse gut metagenome	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520377/ERR520377.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520377/ERR520377.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m2.d19.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m2.d19.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520377	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520377		
PRJEB6358	SAMEA2554883	ERS465268	ERX485613	ERR520378	410661	mouse gut metagenome	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520378/ERR520378.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520378/ERR520378.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m2.d21.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m2.d21.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520378	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520378		
PRJEB6358	SAMEA2554884	ERS465269	ERX485614	ERR520379	410661	mouse gut metagenome	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520379/ERR520379.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520379/ERR520379.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m2.d25.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m2.d25.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520379	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520379		
PRJEB6358	SAMEA2554885	ERS465270	ERX485615	ERR520380	410661	mouse gut metagenome	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520380/ERR520380.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520380/ERR520380.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m2.d28.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m2.d28.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520380	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520380		
PRJEB6358	SAMEA2554886	ERS465271	ERX485616	ERR520381	410661	mouse gut metagenome	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520381/ERR520381.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520381/ERR520381.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m3.d1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m3.d1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520381	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520381		
PRJEB6358	SAMEA2554887	ERS465272	ERX485617	ERR520382	410661	mouse gut metagenome	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520382/ERR520382.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520382/ERR520382.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m3.d2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m3.d2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520382	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520382		
PRJEB6358	SAMEA2554888	ERS465273	ERX485618	ERR520383	410661	mouse gut metagenome	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520383/ERR520383.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520383/ERR520383.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m3.d3.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m3.d3.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520383	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520383		
PRJEB6358	SAMEA2554889	ERS465274	ERX485619	ERR520384	410661	mouse gut metagenome	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520384/ERR520384.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520384/ERR520384.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m3.d4.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m3.d4.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520384	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520384		
PRJEB6358	SAMEA2554890	ERS465275	ERX485620	ERR520385	410661	mouse gut metagenome	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520385/ERR520385.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520385/ERR520385.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m3.d7.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m3.d7.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520385	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520385		
