study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB9150	SAMEA3360601	ERS714053	ERX946125	ERR866497	408170	human gut metagenome	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866497/ERR866497_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866497/ERR866497_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866497/ERR866497_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866497/ERR866497_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC19.fwd.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC19.rev.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC19.fwd.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC19.rev.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR866/ERR866497	ftp.sra.ebi.ac.uk/vol1/err/ERR866/ERR866497		
PRJEB9150	SAMEA3360584	ERS714036	ERX946126	ERR866498	408170	human gut metagenome	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866498/ERR866498_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866498/ERR866498_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866498/ERR866498_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866498/ERR866498_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC2.fwd.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC2.rev.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC2.fwd.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC2.rev.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR866/ERR866498	ftp.sra.ebi.ac.uk/vol1/err/ERR866/ERR866498		
PRJEB9150	SAMEA3360602	ERS714054	ERX946127	ERR866499	408170	human gut metagenome	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866499/ERR866499_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866499/ERR866499_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866499/ERR866499_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866499/ERR866499_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC20.fwd.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC20.rev.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC20.fwd.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC20.rev.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR866/ERR866499	ftp.sra.ebi.ac.uk/vol1/err/ERR866/ERR866499		
PRJEB9150	SAMEA3360603	ERS714055	ERX946128	ERR866500	408170	human gut metagenome	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866500/ERR866500_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866500/ERR866500_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866500/ERR866500_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866500/ERR866500_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC21.fwd.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC21.rev.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC21.fwd.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC21.rev.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR866/ERR866500	ftp.sra.ebi.ac.uk/vol1/err/ERR866/ERR866500		
PRJEB9150	SAMEA3360604	ERS714056	ERX946129	ERR866501	408170	human gut metagenome	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866501/ERR866501_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866501/ERR866501_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866501/ERR866501_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866501/ERR866501_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC22.fwd.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC22.rev.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC22.fwd.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC22.rev.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR866/ERR866501	ftp.sra.ebi.ac.uk/vol1/err/ERR866/ERR866501		
PRJEB9150	SAMEA3360605	ERS714057	ERX946130	ERR866502	408170	human gut metagenome	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866502/ERR866502_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866502/ERR866502_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866502/ERR866502_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866502/ERR866502_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC23.fwd.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC23.rev.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC23.fwd.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC23.rev.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR866/ERR866502	ftp.sra.ebi.ac.uk/vol1/err/ERR866/ERR866502		
PRJEB9150	SAMEA3360606	ERS714058	ERX946131	ERR866503	408170	human gut metagenome	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866503/ERR866503_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866503/ERR866503_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866503/ERR866503_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866503/ERR866503_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC24.fwd.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC24.rev.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC24.fwd.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC24.rev.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR866/ERR866503	ftp.sra.ebi.ac.uk/vol1/err/ERR866/ERR866503		
PRJEB9150	SAMEA3360607	ERS714059	ERX946132	ERR866504	408170	human gut metagenome	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866504/ERR866504_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866504/ERR866504_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866504/ERR866504_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866504/ERR866504_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC25.fwd.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC25.rev.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC25.fwd.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC25.rev.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR866/ERR866504	ftp.sra.ebi.ac.uk/vol1/err/ERR866/ERR866504		
PRJEB9150	SAMEA3360608	ERS714060	ERX946133	ERR866505	408170	human gut metagenome	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866505/ERR866505_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866505/ERR866505_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866505/ERR866505_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866505/ERR866505_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC26.fwd.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC26.rev.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC26.fwd.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC26.rev.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR866/ERR866505	ftp.sra.ebi.ac.uk/vol1/err/ERR866/ERR866505		
PRJEB9150	SAMEA3360609	ERS714061	ERX946134	ERR866506	408170	human gut metagenome	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866506/ERR866506_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866506/ERR866506_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866506/ERR866506_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866506/ERR866506_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC27.fwd.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC27.rev.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC27.fwd.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC27.rev.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR866/ERR866506	ftp.sra.ebi.ac.uk/vol1/err/ERR866/ERR866506		
PRJEB9150	SAMEA3360610	ERS714062	ERX946135	ERR866507	408170	human gut metagenome	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866507/ERR866507_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866507/ERR866507_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866507/ERR866507_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866507/ERR866507_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC28.fwd.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC28.rev.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC28.fwd.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC28.rev.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR866/ERR866507	ftp.sra.ebi.ac.uk/vol1/err/ERR866/ERR866507		
PRJEB9150	SAMEA3360611	ERS714063	ERX946136	ERR866508	408170	human gut metagenome	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866508/ERR866508_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866508/ERR866508_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866508/ERR866508_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866508/ERR866508_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC29.fwd.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC29.rev.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC29.fwd.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC29.rev.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR866/ERR866508	ftp.sra.ebi.ac.uk/vol1/err/ERR866/ERR866508		
PRJEB9150	SAMEA3360585	ERS714037	ERX946137	ERR866509	408170	human gut metagenome	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866509/ERR866509_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866509/ERR866509_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866509/ERR866509_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866509/ERR866509_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC3.fwd.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC3.rev.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC3.fwd.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC3.rev.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR866/ERR866509	ftp.sra.ebi.ac.uk/vol1/err/ERR866/ERR866509		
PRJEB9150	SAMEA3360612	ERS714064	ERX946138	ERR866510	408170	human gut metagenome	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866510/ERR866510_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866510/ERR866510_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866510/ERR866510_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866510/ERR866510_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC31.fwd.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC31.rev.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC31.fwd.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC31.rev.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR866/ERR866510	ftp.sra.ebi.ac.uk/vol1/err/ERR866/ERR866510		
PRJEB9150	SAMEA3360613	ERS714065	ERX946139	ERR866511	408170	human gut metagenome	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866511/ERR866511_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866511/ERR866511_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866511/ERR866511_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866511/ERR866511_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC32.fwd.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC32.rev.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC32.fwd.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC32.rev.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR866/ERR866511	ftp.sra.ebi.ac.uk/vol1/err/ERR866/ERR866511		
